page,text,filename,extraction_method,timestamp,metadata_title,metadata_author,metadata_creator,metadata_producer,metadata_subject,metadata_creation_date,metadata_modification_date,metadata_pages
1,[MAKE A COPY],4a9aa99b-23be-4518-aea7-7c902c6f6a29.pdf,auto,2025-04-29 16:18:28,Kaggle Community Olympiad - Organizer Guide (shared),,Google,,,,,18
1,We only grant view-only access to prevent any accidental edits.,4a9aa99b-23be-4518-aea7-7c902c6f6a29.pdf,auto,2025-04-29 16:18:28,Kaggle Community Olympiad - Organizer Guide (shared),,Google,,,,,18
1,Make a copy of this slide deck for your event and,4a9aa99b-23be-4518-aea7-7c902c6f6a29.pdf,auto,2025-04-29 16:18:28,Kaggle Community Olympiad - Organizer Guide (shared),,Google,,,,,18
1,feel free to make any change you need.,4a9aa99b-23be-4518-aea7-7c902c6f6a29.pdf,auto,2025-04-29 16:18:28,Kaggle Community Olympiad - Organizer Guide (shared),,Google,,,,,18
1,If you have any questions or feedback please,4a9aa99b-23be-4518-aea7-7c902c6f6a29.pdf,auto,2025-04-29 16:18:28,Kaggle Community Olympiad - Organizer Guide (shared),,Google,,,,,18
1,contact gmldp@google.com.,4a9aa99b-23be-4518-aea7-7c902c6f6a29.pdf,auto,2025-04-29 16:18:28,Kaggle Community Olympiad - Organizer Guide (shared),,Google,,,,,18
2,Kaggle Community Olympiad,4a9aa99b-23be-4518-aea7-7c902c6f6a29.pdf,auto,2025-04-29 16:18:28,Kaggle Community Olympiad - Organizer Guide (shared),,Google,,,,,18
2,Host competitions and create hands-on learning opportunities,4a9aa99b-23be-4518-aea7-7c902c6f6a29.pdf,auto,2025-04-29 16:18:28,Kaggle Community Olympiad - Organizer Guide (shared),,Google,,,,,18
2,Organizer Guide,4a9aa99b-23be-4518-aea7-7c902c6f6a29.pdf,auto,2025-04-29 16:18:28,Kaggle Community Olympiad - Organizer Guide (shared),,Google,,,,,18
2,"Updated on Feb 14, 2025",4a9aa99b-23be-4518-aea7-7c902c6f6a29.pdf,auto,2025-04-29 16:18:28,Kaggle Community Olympiad - Organizer Guide (shared),,Google,,,,,18
